time,x,y
1758181525.3242135,-6.661338147750939e-16,-6.661338147750939e-16
1758181535.578995,-8.881784197001252e-16,-8.881784197001252e-16
1758181545.2248223,-1.1102230246251565e-15,-1.1102230246251565e-15
1758181554.927472,0.09999999999999853,0.2999999999999987
1758181564.080358,0.8999999999999981,0.9999999999999984
1758181573.5935447,1.4999999999999982,1.4999999999999984
1758181582.294255,0.4999999999999982,2.299999999999998
1758181592.3932583,0.5999999999999979,3.1999999999999997
1758181601.7224011,0.5999999999999976,3.1000000000000005
1758181610.989799,0.5999999999999974,3.4000000000000017
1758181621.2635531,0.4999999999999972,3.000000000000002
1758181630.4750752,1.199999999999997,3.2000000000000033
1758181639.8063242,0.7999999999999969,3.4000000000000044
1758181649.0641246,0.899999999999997,3.5000000000000053
1758181659.8828003,1.7999999999999972,2.9000000000000057
1758181668.6804247,1.699999999999997,3.200000000000007
1758181677.8515613,2.5999999999999965,3.300000000000008
1758181687.7551293,1.999999999999997,3.1000000000000085
1758181697.3601642,2.5999999999999983,3.4000000000000097
1758181707.2762206,2.6999999999999993,3.4000000000000106
1758181717.46491,2.8000000000000003,3.6000000000000116
1758181727.163371,3.700000000000002,3.7000000000000126
1758181736.399077,2.900000000000002,3.5000000000000133
1758181745.6835287,2.900000000000003,3.500000000000014
1758181755.6117077,2.800000000000004,3.300000000000015
1758181765.696342,2.7000000000000046,3.400000000000016
1758181777.4443874,3.100000000000006,3.2000000000000166
1758181787.1120667,2.300000000000006,3.1000000000000174
1758181796.5353715,1.300000000000006,3.2000000000000184
1758181806.0231538,2.100000000000006,3.3000000000000194
1758181814.5892925,2.1000000000000068,3.20000000000002
1758181823.913984,1.7000000000000073,3.6000000000000214
1758181833.3614256,1.3000000000000071,3.200000000000022
1758181843.423097,1.7000000000000068,3.0000000000000226
1758181852.766817,1.7000000000000066,3.1000000000000236
1758181861.1909106,1.6000000000000063,3.1000000000000245
1758181870.0898125,2.5000000000000058,3.0000000000000253
1758181879.024408,2.2000000000000064,3.5000000000000266
1758181888.392268,1.6000000000000068,3.5000000000000275
1758181898.3460417,0.6000000000000068,3.3000000000000282
1758181907.8212106,-0.1999999999999933,2.3000000000000282
1758181916.57172,-1.0999999999999932,3.20000000000003
1758181928.1187127,-2.0999999999999934,3.300000000000031
1758181939.43623,-1.8999999999999924,3.600000000000032
1758181948.9232557,-2.399999999999992,3.4000000000000328
1758181958.3930666,-2.6999999999999913,3.4000000000000337
1758181968.5123675,-2.7999999999999905,3.6000000000000347
1758181978.6642334,-3.7999999999999905,3.7000000000000357
1758181987.9288778,-3.4999999999999947,3.8000000000000367
1758181996.9407792,-4.399999999999995,3.5000000000000373
1758182006.630485,-4.899999999999997,3.9000000000000385
1758182016.3197598,-5.899999999999997,3.9000000000000394
