time,x,y
4568.763,-4.094912912901455e-05,4.096805733189936e-05
4568.783,-4.1078226001486116e-05,4.136147932865009e-05
4568.803,-4.208632515187899e-05,4.1306973721309035e-05
4568.823,-4.27391265890467e-05,4.1245322601518337e-05
4568.843,-4.353787037735528e-05,4.112647286051962e-05
4568.863,-4.368738585473578e-05,4.1340187180173285e-05
4568.883,-4.3687187235780154e-05,4.159810628049123e-05
4568.903,-4.368695968096702e-05,4.186987830168788e-05
4568.923,-4.368687218872168e-05,4.212924784979291e-05
4568.943,-4.3686495969861e-05,4.240522652770338e-05
4568.963,-4.380711370889189e-05,4.2843375261782995e-05
4568.983,-4.3892089006348576e-05,4.3271186694459594e-05
4569.003,-4.450053627569134e-05,4.321050187387625e-05
4569.023,-4.465253824255934e-05,4.343421799514551e-05
4569.043,-4.471105145462098e-05,4.372434586526327e-05
4569.063,-4.471080747253335e-05,4.3995674292139256e-05
4569.083,-4.471033492349727e-05,4.427744365510787e-05
4569.103,-4.4710231871090136e-05,4.453937317054045e-05
4569.123,-4.4839318300113245e-05,4.493279278060753e-05
4569.143,-4.584741530630876e-05,4.487831364805494e-05
4569.163,-4.650021367568281e-05,4.481667973088857e-05
4569.183,-4.729895369448335e-05,4.469784942374661e-05
4569.203,-4.744845989125681e-05,4.4911620350756466e-05
4569.223,-4.74482549492321e-05,4.516953923892185e-05
4569.243,-4.744802073072352e-05,4.5441310339877e-05
4569.263,-4.744792687744689e-05,4.570067820315634e-05
4569.283,-4.744754389317364e-05,4.597665476053392e-05
4569.303,-4.756815024996167e-05,4.641479767634668e-05
4569.323,-4.7653114547695906e-05,4.684260256700481e-05
4569.343,-4.826156160872915e-05,4.6781932134679995e-05
4569.363,-4.841355413798101e-05,4.7005704591049827e-05
4569.383,-4.847205650542938e-05,4.729588303315112e-05
4569.403,-4.847180587159107e-05,4.75672105340918e-05
4569.423,-4.847132641831046e-05,4.78489787229177e-05
4569.443,-4.847121694285392e-05,4.811090637487139e-05
4569.463,-4.8600292928991904e-05,4.850432359865444e-05
4569.483,-4.960838779203507e-05,4.844987093999975e-05
4569.503,-5.026118309800069e-05,4.838825422322049e-05
4569.523,-5.105991935388228e-05,4.826944334752783e-05
4569.543,-5.120941626874598e-05,4.848327087672807e-05
4569.563,-5.1209205003689565e-05,4.874118955280324e-05
4569.583,-5.1208964121559344e-05,4.9012959733390624e-05
4569.603,-5.120886390756837e-05,4.927232589652311e-05
4569.623,-5.120847415814364e-05,4.954830033364704e-05
4569.643,-5.132906913301918e-05,4.998643743224545e-05
4569.663,-5.1414022431306554e-05,5.041423578179011e-05
4569.683,-5.2022469283517066e-05,5.0353579737389765e-05
4569.703,-5.217445237355968e-05,5.0577408524196344e-05
4569.723,-5.223294389515726e-05,5.0867637533894125e-05
4569.743,-5.223268660951294e-05,5.113896410903752e-05
4569.763,-5.2232200252054255e-05,5.1420731107031854e-05
4569.783,-5.22320843535452e-05,5.168265689566099e-05
4569.803,-5.236114989709014e-05,5.2076071733856086e-05
4569.823,-5.3369242617931425e-05,5.202164554864481e-05
4569.843,-5.4022034865817575e-05,5.1960046030386924e-05
4569.863,-5.482076736741479e-05,5.184125458359961e-05
4569.883,-5.4970254998446956e-05,5.2055138709161774e-05
4569.903,-5.497003741063555e-05,5.231305717300186e-05
4569.923,-5.4969789865211474e-05,5.258482643337149e-05
4569.943,-5.496968329077294e-05,5.284419091198698e-05
4569.963,-5.4969286776457136e-05,5.312016322902519e-05
4569.983,-5.5089870369886854e-05,5.355829451128664e-05
4570.003,-5.51748126688611e-05,5.3986086315162735e-05
4570.023,-5.578325931197991e-05,5.3925444654403226e-05
4570.043,-5.593523296069069e-05,5.4149329773871404e-05
4570.063,-5.5993713634408915e-05,5.443960935169116e-05
4570.083,-5.5993449697156877e-05,5.4710935000647534e-05
4570.103,-5.5992956435487716e-05,5.499270082562309e-05
4570.123,-5.599283411416687e-05,5.5254624751573e-05
4570.143,-5.612188921586606e-05,5.564803719114581e-05
4570.163,-5.7129979795443944e-05,5.559363746959222e-05
4570.183,-5.778276899119874e-05,5.553205516467386e-05
4570.203,-5.858149777283489e-05,5.541328439845278e-05
4570.223,-5.8730976119127166e-05,5.562722509678362e-05
